PLAYER_ID,PLAYER_NAME_post,TEAM_ID_post,TEAM_ABBREVIATION_post,AGE_post,GP_post,MIN_post,PIE_post,USG_PCT_post,PLAYER_NAME_pre,TEAM_ID_pre,TEAM_ABBREVIATION_pre,AGE_pre,GP_pre,MIN_pre,PIE_pre,USG_PCT_pre,PIE_previous,PIE_following,GP_following,TEAM_ID_following,TEAM_ABBREVIATION_following,season,avg_wins_3yr,PIE_change,USG_change,PIE_diff,POSITION_simplified,OVERALL_PICK,change_team
1629052,Oshae Brissett,1610612754,IND,24.0,20,30.6,0.081,0.18,Oshae Brissett,1610612754,IND,24.0,47,20.3,0.078,0.157,0.096,0.073,65.0,1610612754.0,IND,2021-22,42.333333333333336,0.0030000000000000027,0.022999999999999993,-0.008000000000000007,Guard,61.0,False
1630181,R.J. Hampton,1610612753,ORL,21.0,22,26.7,0.054,0.161,R.J. Hampton,1610612753,ORL,21.0,42,19.4,0.074,0.194,0.085,0.074,47.0,1610612765.0,DET,2021-22,32.0,-0.019999999999999997,-0.033,0.019999999999999997,Guard,24.0,True
1630544,Tre Mann,1610612760,OKC,21.0,15,31.3,0.079,0.234,Tre Mann,1610612760,OKC,21.0,45,20.0,0.062,0.202,,0.072,67.0,1610612760.0,OKC,2021-22,38.333333333333336,0.017,0.032,-0.007000000000000006,Guard,18.0,False
1630570,Trendon Watford,1610612757,POR,21.0,15,30.2,0.098,0.19,Trendon Watford,1610612757,POR,21.0,33,12.6,0.096,0.145,,0.097,62.0,1610612757.0,POR,2021-22,43.333333333333336,0.0020000000000000018,0.04500000000000001,-0.0010000000000000009,Guard,61.0,False
1629614,Andrew Nembhard,1610612754,IND,23.0,22,29.0,0.085,0.19,Andrew Nembhard,1610612754,IND,23.0,53,27.1,0.06,0.145,,0.075,68.0,1610612754.0,IND,2022-23,34.666666666666664,0.02500000000000001,0.04500000000000001,-0.010000000000000009,Guard,31.0,False
1630559,Austin Reaves,1610612747,LAL,25.0,23,30.4,0.138,0.184,Austin Reaves,1610612747,LAL,25.0,41,27.9,0.077,0.136,0.076,0.105,82.0,1610612747.0,LAL,2022-23,42.333333333333336,0.06100000000000001,0.04799999999999999,-0.033000000000000015,Guard,61.0,False
1629632,Coby White,1610612741,CHI,23.0,23,25.9,0.11,0.179,Coby White,1610612741,CHI,23.0,51,22.3,0.076,0.165,0.08,0.099,79.0,1610612741.0,CHI,2022-23,33.0,0.034,0.013999999999999985,-0.010999999999999996,Guard,7.0,False
1628372,Dennis Smith Jr.,1610612766,CHA,25.0,16,27.4,0.105,0.185,Dennis Smith Jr.,1610612766,CHA,25.0,38,25.0,0.084,0.17,0.095,0.092,56.0,1610612751.0,BKN,2022-23,33.0,0.02099999999999999,0.014999999999999986,-0.012999999999999998,Guard,9.0,True
1630164,James Wiseman,1610612765,DET,22.0,23,25.3,0.103,0.221,James Wiseman,1610612765,DET,22.0,22,13.0,0.107,0.193,,0.097,63.0,1610612765.0,DET,2022-23,21.0,-0.0040000000000000036,0.027999999999999997,-0.0059999999999999915,Center,2.0,False
1629670,Jordan Nwora,1610612754,IND,24.0,22,25.7,0.099,0.203,Jordan Nwora,1610612754,IND,24.0,40,15.6,0.078,0.172,0.072,0.103,52.0,1610612761.0,TOR,2022-23,34.666666666666664,0.021000000000000005,0.031000000000000028,0.00399999999999999,Forward,45.0,True
1629680,Matisse Thybulle,1610612757,POR,26.0,20,27.6,0.057,0.113,Matisse Thybulle,1610612757,POR,26.0,51,12.7,0.052,0.093,0.057,0.061,65.0,1610612757.0,POR,2022-23,34.666666666666664,0.0050000000000000044,0.020000000000000004,0.003999999999999997,Guard,20.0,False
1630534,Ochai Agbaji,1610612762,UTA,23.0,22,29.6,0.058,0.193,Ochai Agbaji,1610612762,UTA,23.0,37,15.1,0.045,0.108,,0.046,78.0,1610612761.0,TOR,2022-23,48.333333333333336,0.013000000000000005,0.085,-0.012000000000000004,Guard,14.0,True
1631101,Shaedon Sharpe,1610612757,POR,20.0,23,27.0,0.085,0.233,Shaedon Sharpe,1610612757,POR,20.0,57,20.3,0.063,0.161,,0.08,32.0,1610612757.0,POR,2022-23,34.666666666666664,0.022000000000000006,0.07200000000000001,-0.0050000000000000044,Guard,7.0,False
